"Filename",203_1.mzML,206_1.mzML,205_1.mzML,203_2.mzML,205_2.mzML,206_2.mzML,202_3.mzML,203_3.mzML,208_2.mzML,207_2.mzML,209_2.mzML,211_1.mzML,210_1.mzML,209_1.mzML,202_1.mzML,207_1.mzML,212_1.mzML,212_2.mzML,211_2.mzML,208_1.mzML,213_1.mzML,213_3.mzML,210_2.mzML,204_1.mzML,202_2.mzML,213_2.mzML,204_2.mzML
156/254.0665mz/1.18min,,,,,158787.203125,,,,,,,,,,,,186632.578125,,,,,,,,,,
157/227.1759mz/1.18min,,,2684153.5,,,2590748.5,1.10377E7,,2166968.0,3875000.5,,3486232.75,1.0638888E7,,9816182.0,3421708.5,,,2509726.5,3792495.5,,1815340.75,1.0104265E7,8645701.0,4382309.0,,5793577.5
158/209.1652mz/1.18min,,,,,,,422747.34375,,,,,,442709.59375,,,,,,,,,,444560.75,,,,
159/249.1578mz/1.19min,,,,,,,4082206.5,,,,,,2279641.75,,2854664.0,,,,,,,,2419124.75,2340224.0,1257854.0,,1403114.75
164/114.0915mz/1.23min,,660845.625,,,,,830337.5625,,,,,,,,,,,6213763.5,,,393288.375,,,,,,
165/573.3626mz/1.23min,439698.71875,301407.28125,264639.6875,,,352149.875,,659303.3125,474157.40625,,766213.75,,,840530.1875,,330774.90625,342135.875,,256837.578125,499336.875,571920.125,506053.6875,,,,186002.859375,
"166/""""""3,4,5-Trimethoxyphenol CollisionEnergy:102040""""""/185.0813mz/1.25min",,,,,,,1495189.0,,,,,,,,1644923.375,,,,,,,,,1144494.875,,,
167/197.1289mz/1.25min,1881330.375,1259629.625,912446.0625,1385223.25,923231.75,1363953.125,702025.375,1677975.875,1416456.125,1826982.875,1185501.875,1170905.875,1896477.625,1366592.375,735465.0,1231851.0,1363473.0,478129.4375,1106911.625,1308524.0,1269580.375,947092.75,1897139.125,1312740.875,1134904.375,550314.75,1508694.75
168/303.1349mz/1.26min,1016214.0,1491154.625,974317.4375,1513057.125,1567631.625,1525427.375,1137078.125,732549.0625,1266706.125,1565938.5,1023116.125,1040999.125,1260411.75,1000049.375,1599603.75,1113623.125,1266877.5,494595.03125,1235250.0,997983.25,1192281.75,1061518.25,1276156.125,1682694.5,605827.75,678189.5625,737316.25
169/Isovalerylcarnitine - 40.00 eV/246.1705mz/1.27min,,350731.625,354038.78125,,,420533.5625,,,,1368347.125,488079.6875,682416.4375,1349815.375,617247.375,,770631.6875,467069.1875,,234753.375,591501.0,426413.84375,791198.0625,910007.8125,,,,
170/167.0707mz/1.30min,,,,,,,,,,,,,,,,,,,,,,,,642096.3125,1186502.875,,1892672.875
171/347.1250mz/1.30min,300130.15625,688366.3125,217283.515625,299579.84375,865685.8125,691569.5,,,543864.875,1216735.875,491811.59375,261432.203125,,485827.0625,453793.3125,377161.9375,562008.4375,,381045.09375,432079.59375,524066.5625,468635.75,,,,163333.078125,
173/674.4102mz/1.31min,251223.828125,,,,,,,440197.96875,220593.6875,,366814.84375,,,413922.25,,,,,,200348.65625,334898.125,437022.46875,,,,126268.984375,
174/Spectral Match to 2-Hydroxy-3-methoxybenzyl alcohol from NIST14/137.0600mz/1.32min,,,,280582.71875,20259.296875,,,,,,268112.75,,,286836.9375,,,347231.375,,,,276975.09375,273534.3125,,618017.375,1350731.375,191319.96875,1737461.25
177/371.2286mz/1.35min,299475.21875,368843.46875,341358.25,,419074.0,374547.78125,564736.25,,376279.40625,543192.5625,382656.4375,336492.15625,621923.4375,412164.03125,,368610.375,512749.5,275287.03125,356800.59375,377237.875,515263.40625,284513.71875,596082.6875,1196027.0,1307131.375,293143.4375,2184778.0
