Filename,202_3.mzML,202_1.mzML,202_2.mzML,203_1.mzML,203_2.mzML,203_3.mzML,204_1.mzML,204_2.mzML,205_1.mzML,205_2.mzML,206_1.mzML,206_2.mzML,207_2.mzML,207_1.mzML,208_2.mzML,208_1.mzML,209_2.mzML,209_1.mzML,210_1.mzML,210_2.mzML,211_1.mzML,211_2.mzML,212_1.mzML,212_2.mzML,213_1.mzML,213_3.mzML,213_2.mzML
"243/""NCGC00384535-01!8-[4,5-dihydroxy-6-(hydroxymethyl)-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]-7-hydroxy-2-(4-hydroxyphenyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one""/741.2255mz/1.86min",NA,504784.40625,404418.40625,254564.984375,414855.40625,NA,549604.4375,413326.53125,194453.953125,350521.1875,359740.84375,340684.1875,465744.5625,281380.9375,330609.9375,227888.09375,333936.84375,314410.03125,286484.25,329164.84375,254254.15625,267037.625,NA,NA,313223.71875,250810.75,123691.3984375
244/518.2380mz/1.87min,586576.75,637786.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248/997.5213mz/1.88min,4758618.5,5034151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250/499.2645mz/1.89min,6358943,6094933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253/Cyclo(Leu-Pro)/211.1444mz/1.91min,1663049.25,1698789.125,4089329.25,6026323,7186493,4616067.5,3420947.75,4819681.5,2553591.75,3276381,2932496.75,3133251,3584808,2945665.25,3082118.25,2692942.25,3255577,3189485.75,3599195.5,3695261.5,2567033.25,2823987.5,3047924.5,1333576.25,2866849,2458754.5,1614748.25
257/566.1599mz/1.96min,490094.34375,694048.25,797067.375,591583.0625,NA,299710.84375,792890.375,746071.75,336215.375,729571.5,694550.625,649162,814317.375,508879.875,509567.5,363076.09375,573830.8125,606288.625,499236.34375,456111.5625,437331.25,488010.28125,682647.25,150757.703125,614967.25,569986.375,249843.375
258/Isoshaftoside/565.1564mz/1.96min,2354777.5,3027433.25,3105163,2586206.75,3314314.5,1752654.625,3270535.25,3111939.25,1576973.75,2893154,2829503.5,2658261.75,3482263.5,2126824.75,2205274.75,1755457.875,2490337.5,2405252.75,2187416,1997873.25,2087027.75,2123979.5,2691503.75,897763.6875,2587982.75,2327000.5,1207513.875
272/481.2629mz/2.01min,253099.734375,NA,535626.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284527.5625,308514.8125,NA,NA,NA,NA,NA,NA,NA
274/Spectral Match to Decaethylene glycol from NIST14 [IIN-based on: CCMSLIB00003135910]/476.3072mz/2.01min,NA,596141.1875,3703644.5,NA,609126,385310.53125,2424739,4889052,NA,NA,NA,NA,NA,NA,NA,NA,593885.1875,503805.4375,NA,NA,NA,NA,841625.75,495819.75,NA,562285.8125,518389.46875
275/566.2998mz/2.04min,1680972.25,2038051.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276/566.8011mz/2.04min,954241.625,1171766.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280/787.4224mz/2.14min,1380562.875,3587345.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286/Spectral Match to Phe-Leu from NIST14/279.1711mz/2.18min,1074399.25,469483.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287/249.1125mz/2.21min,1141194.5,1271410.625,NA,593465.9375,969428.3125,NA,NA,NA,NA,NA,547750.6875,522289.375,NA,NA,NA,NA,NA,NA,648628.0625,648257.375,NA,NA,NA,NA,NA,NA,NA
288/Swertiajaponin/463.1246mz/2.22min,466949.4375,453293.84375,309554.25,217316.65625,373703.46875,NA,273557.1875,228592.5625,NA,NA,315737.09375,187657.546875,NA,NA,NA,NA,204124.40625,203347.03125,NA,NA,NA,NA,NA,NA,247256.34375,226023.140625,NA
296/1098.5694mz/2.27min,2425426,1406005.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300/549.7886mz/2.29min,5549071,3293780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358991.1875,344161.90625,NA,NA,NA,NA,NA,NA,NA
307/448.7649mz/2.42min,1084974.375,1906493.125,NA,NA,NA,NA,NA,NA,NA,NA,287658.21875,354632.03125,NA,NA,NA,NA,NA,NA,NA,NA,573628.1875,655022.6875,NA,NA,NA,NA,NA
308/607.2383mz/2.42min,419942.5625,493542.71875,NA,NA,NA,NA,NA,NA,NA,NA,182656.234375,178517.359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326/Spectral Match to Undecaethylene glycol from NIST14 [IIN-based on: CCMSLIB00003138750]/520.3337mz/2.52min,1332907.875,634911.625,3437218.75,777559.625,945861.25,416685.34375,2081445.25,4038029,742588.25,636937.875,545125.625,567391,710041.9375,607403.6875,590175.6875,572096.125,462211.75,433489.9375,915073.0625,966598.25,585217.25,591879.3125,844189.1875,588869,858982.625,570914.375,590099.9375
327/525.2891mz/2.52min,252068.765625,NA,723738,NA,NA,NA,446277.78125,923979.0625,43748.515625,80576.6015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335/373.2341mz/2.57min,1446056.375,1792829,259358.078125,281818.71875,951198.125,309117.3125,NA,NA,542995.75,376854.4375,455607.0625,637964,448759.875,724487.0625,577327.6875,444981.9375,315713.40625,366735.90625,1797150.375,2123677,518471.5,452241.1875,NA,NA,304374.78125,155829.140625,NA
337/395.2159mz/2.58min,1343715.5,1791138.375,NA,287386.125,949157.5,298211.5,NA,NA,444795.90625,407044.03125,456923.375,637593.4375,504743.21875,697972.9375,575839.6875,483931.5625,311171.125,357589.15625,1675052.375,1879764.375,555413.875,468220.875,NA,NA,324920,169658.890625,NA
349/888.4700mz/2.74min,260077.984375,320826.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370/455.2197mz/2.87min,233188.296875,633200.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371/674.3423mz/2.87min,332043.625,889550.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372/663.3518mz/2.88min,3541624.25,8418992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385/331.1547mz/2.94min,589063.9375,786692.875,NA,NA,NA,NA,NA,NA,NA,NA,191439.484375,210448.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388/564.3602mz/2.96min,1068595.75,238642.6875,2917311.25,422267.28125,439755.15625,NA,1130925.625,3036339,344302.8125,333279.4375,NA,NA,NA,NA,285311.75,304193.28125,NA,NA,NA,NA,NA,NA,448745.21875,355777.0625,475984,NA,331781.46875
400/227.1756mz/3.03min,9332301,6540082.5,4386980,1361254.75,3851444,3235844.5,8236130,5120412,3489245.5,1859235.875,1721803.75,3044911,2483157,3435940,3099747.25,3083739.5,1693929.625,1732830.75,7472369,9065162,3031951.25,3346357.75,NA,NA,1735580.75,1746385.5,NA
402/453.3441mz/3.03min,85001728,73264040,57463576,24303186,54751036,41905808,80167592,59262528,42538524,31792440,29947144,43841708,44180556,44621568,38858872,40053528,29976908,28513624,76362936,84707664,41343128,50911368,26965872,19793442,30416722,31737584,19573978
405/475.3260mz/3.04min,25992496,30944792,26877362,15417045,24355042,24695228,21192380,27721494,22139468,19958618,15877832,23251218,21517718,23639062,20460420,18343334,18160552,18049808,31525068,32052266,21911066,23859628,16375110,13675855,15312451,19582534,12135795
430/621.2166mz/3.20min,283111.25,399577.21875,NA,419729.71875,503996.75,282019.15625,NA,NA,342930.34375,440208.59375,407412.15625,401129.03125,380935.71875,359709.28125,299406.78125,369668.90625,407638.25,370780.75,340269.40625,342796.90625,265886.90625,356654.46875,315465.34375,262190.53125,277744.21875,337917.21875,271583.625
435/521.2619mz/3.24min,517157.90625,549991.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444/608.3867mz/3.27min,1134300.5,205369.453125,2332340,187826.265625,232573.125,NA,984224,2135578.5,182509.265625,129539.8828125,120290.65625,127291.1640625,168069.421875,156263.21875,NA,NA,NA,NA,264197.5,265825.03125,156970.765625,146088.375,296175.46875,209007.953125,258879.03125,183051.15625,206541.78125
461/610.3132mz/3.36min,226428.015625,227057.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463/1197.6397mz/3.36min,467212.84375,540955.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464/599.3233mz/3.37min,1827979.75,1897766.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471/566.4287mz/3.41min,4546102.5,4793033.5,5360170,6445474.5,6256370,5714454,6027478.5,5562458.5,6028084,6499668,6187762.5,5374791.5,5794475,6305110.5,5579909.5,6371664.5,7294452,6170690,5129579.5,5931556,6780993,5458971.5,7653672.5,7882487.5,6140689,6295421,6561563
472/283.7178mz/3.41min,1026180.9375,876131.5,960127.5,1142662,1042361.6875,1885747,1055713.875,869752.8125,1522797.5,1097879,1273460.25,1282323.75,1237119.25,1465636,1460576.75,1362008.25,1513825.875,1542608.875,1127351.875,1238083.875,1525290,1426617.375,1162021.625,1956758.75,1510026.25,1171397.25,1696825.125
